id,user,uid,version,changeset,timestamp
7149377,zephyr,121241,7,11581490,2012-05-12T22:59:41Z
14278339,TheDutchMan13,1330847,3,49150987,2017-06-01T01:12:46Z
14278350,TheDutchMan13,1330847,2,49150987,2017-06-01T01:12:46Z
14278368,TheDutchMan13,1330847,3,49150987,2017-06-01T01:12:46Z
14278376,TheDutchMan13,1330847,4,49150987,2017-06-01T01:12:47Z
14278393,TheDutchMan13,1330847,3,49150987,2017-06-01T01:12:47Z
14278407,balrog-kun,20587,2,4250464,2010-03-27T22:52:31Z
14278421,Stephen Show,7285879,5,54992699,2017-12-28T20:03:55Z
14278429,TheDutchMan13,1330847,2,49171267,2017-06-01T17:05:15Z
14278489,knutella,1346236,2,55365167,2018-01-11T22:05:54Z
14278656,SimMoonXP,3392,2,11732139,2012-05-28T21:26:37Z
14278802,California Bear,28923,4,31654872,2015-06-02T06:03:19Z
14278976,MojaveNC,63936,2,9031536,2011-08-15T21:05:17Z
14279108,optimalnode,2302485,9,36021196,2015-12-18T04:00:53Z
14279231,DaveHansenTiger,7168,1,630240,2007-11-27T10:50:26Z
14279272,KristenK,1494110,6,21370243,2014-03-28T18:11:04Z
14279367,TheDutchMan13,1330847,10,48109044,2017-04-25T04:19:42Z
14279482,ryandrake,1214881,7,14953508,2013-02-08T08:57:24Z
14279652,Dami_Tn,2012449,7,26402022,2014-10-28T23:06:00Z
14279676,Dami_Tn,2012449,7,26451879,2014-10-31T00:23:43Z
14279787,DaveHansenTiger,7168,1,630240,2007-11-27T10:54:09Z
14279906,xsintrik,196098,5,5458057,2010-08-10T22:18:06Z
14280052,e1l52,86654,2,12735280,2012-08-15T07:21:43Z
14280137,DaveHansenTiger,7168,1,630240,2007-11-27T10:56:14Z
14280375,alimamo,7213,6,15086489,2013-02-19T08:52:00Z
14280609,DaveHansenTiger,7168,1,630320,2007-11-27T10:59:13Z
14280707,ocotillo,78871,4,14268603,2012-12-14T08:52:01Z
14280878,SimMoonXP,3392,3,13926055,2012-11-18T23:13:06Z
14281104,Chris Bell in California,194231,3,6121512,2010-10-21T05:55:09Z
14281248,TheDutchMan13,1330847,2,48050545,2017-04-23T05:37:55Z
14281392,DaveHansenTiger,7168,1,630320,2007-11-27T11:05:37Z
14281494,Dami_Tn,2012449,8,26402022,2014-10-28T23:05:58Z
14281568,DaveHansenTiger,7168,1,630320,2007-11-27T11:07:38Z
14281781,abellao,496923,15,33346120,2015-08-15T04:26:10Z
14281881,MojaveNC,63936,2,5473493,2010-08-12T14:05:12Z
14281932,SimMoonXP,3392,12,26355116,2014-10-27T03:36:26Z
14282103,DaveHansenTiger,7168,1,630320,2007-11-27T11:13:09Z
14282146,NE2,207745,8,12836199,2012-08-23T18:41:04Z
14282254,SimMoonXP,3392,4,13938978,2012-11-19T22:43:13Z
14282367,Howpper,1240864,8,44462175,2016-12-17T03:19:47Z
14282385,ocotillo,78871,5,14306241,2012-12-17T13:36:17Z
14282449,DaveHansenTiger,7168,1,630320,2007-11-27T11:16:22Z
14282512,DaveHansenTiger,7168,1,630320,2007-11-27T11:17:14Z
14282522,SimMoonXP,3392,2,12779050,2012-08-19T02:31:18Z
14282591,KristenK,1494110,2,21312663,2014-03-25T20:24:33Z
14282663,DaveHansenTiger,7168,1,630320,2007-11-27T11:18:31Z
14282781,MojaveNC,63936,2,5473493,2010-08-12T14:05:15Z
14282923,mattmaxon,96974,2,35192131,2015-11-09T13:33:11Z
14282942,NE2,207745,6,12836199,2012-08-23T18:41:11Z
14282983,czshredd,85306,2,534724,2008-12-21T09:33:55Z
14283050,DrHog,328268,3,5581642,2010-08-24T17:24:53Z
14283196,NE2,207745,5,13183220,2012-09-20T12:38:17Z
14283335,NE2,207745,4,13183220,2012-09-20T12:37:44Z
14283444,Rexma423,3055420,7,53756575,2017-11-14T01:47:43Z
14283523,oldtopos,169004,2,13837983,2012-11-11T19:29:07Z
14283605,TheDutchMan13,1330847,12,49150987,2017-06-01T01:12:48Z
14283825,alimamo,7213,10,15534762,2013-03-29T07:59:47Z
14283905,Reno Editor,1282393,10,25657834,2014-09-25T05:16:28Z
14283925,DaveHansenTiger,7168,1,630457,2007-11-27T11:28:32Z
14283935,Tom_Holland,574654,4,54031772,2017-11-23T17:41:29Z
14283960,NE2,207745,5,13183220,2012-09-20T12:37:47Z
14284005,SimMoonXP,3392,2,12779050,2012-08-19T02:31:08Z
14284220,SimMoonXP,3392,5,26374170,2014-10-27T21:00:31Z
14284262,Tom_Holland,574654,5,54290318,2017-12-03T07:22:42Z
14284319,nm7s9,12434,2,22785231,2014-06-07T00:26:26Z
14284344,Tom_Holland,574654,2,54030960,2017-11-23T17:05:41Z
14284416,mihaii_telenav,2944689,10,36024989,2015-12-18T10:28:43Z
14284473,DaveHansenTiger,7168,1,630457,2007-11-27T11:33:15Z
14284519,MojaveNC,63936,2,5473493,2010-08-12T14:04:50Z
14284572,KristenK,1494110,6,21371492,2014-03-28T19:35:24Z
14284646,e1l52,86654,2,12735280,2012-08-15T07:21:44Z
14284744,DaveHansenTiger,7168,1,630457,2007-11-27T11:35:35Z
14284797,MojaveNC,63936,2,6682726,2010-12-16T23:31:58Z
14284855,AM909,82317,4,9735365,2011-11-04T01:00:54Z
14284932,Chris Bell in California,194231,3,6121239,2010-10-21T04:06:20Z
14285064,MojaveNC,63936,2,9426,2008-10-01T08:02:56Z
14285137,beweta,152074,2,17227252,2013-08-05T12:19:58Z
14285199,Tom_Holland,574654,3,54030960,2017-11-23T17:05:41Z
14285457,SimMoonXP,3392,4,26106455,2014-10-15T22:25:00Z
14285585,DaveHansenTiger,7168,1,630457,2007-11-27T11:40:29Z
14285624,SimMoonXP,3392,3,16187444,2013-05-19T00:28:59Z
14285811,knutella,1346236,3,55357172,2018-01-11T16:45:12Z
14285943,DaveHansenTiger,7168,1,630457,2007-11-27T11:42:18Z
14286005,oldtopos,169004,2,13837983,2012-11-11T19:29:05Z
14286136,woodpeck_repair,145231,4,20574375,2014-02-15T12:10:55Z
14286238,Notofsoundmind,209805,2,3397586,2009-12-17T23:33:55Z
14286352,Rick69,1220849,5,43375006,2016-11-03T10:59:57Z
14286391,bal_agates,374193,3,14297040,2012-12-16T18:21:55Z
14286460,DaveHansenTiger,7168,1,630457,2007-11-27T11:45:02Z
14286500,nateirwin,74228,3,22863707,2014-06-11T05:35:16Z
14286670,DaveHansenTiger,7168,1,630457,2007-11-27T11:46:19Z
14286752,DaveHansenTiger,7168,1,630457,2007-11-27T11:46:42Z
14286791,Chris Bell in California,194231,2,6543209,2010-12-04T20:30:23Z
14286842,Tom_Holland,574654,4,54030960,2017-11-23T17:05:42Z
14286943,DaveHansenTiger,7168,1,630457,2007-11-27T11:47:45Z
14286969,DaveHansenTiger,7168,1,630457,2007-11-27T11:47:52Z
14286987,SimMoonXP,3392,6,26203423,2014-10-19T23:06:55Z
14287114,Reno Editor,1282393,14,54906343,2017-12-25T12:41:57Z
14287307,Dami_Tn,2012449,8,26448884,2014-10-30T21:17:22Z
14287364,DaveHansenTiger,7168,1,630457,2007-11-27T11:50:18Z
14287437,SimMoonXP,3392,4,26374446,2014-10-27T21:10:42Z
14287554,es715,2079050,3,36331283,2016-01-03T04:41:16Z
14287635,DaveHansenTiger,7168,1,630457,2007-11-27T11:51:37Z
14287804,ocotillo,78871,3,14306241,2012-12-17T13:36:17Z
14287846,woodpeck_repair,145231,4,19929221,2014-01-11T05:33:45Z
14288039,ocotillo,78871,3,14305943,2012-12-17T13:11:35Z
14288059,SimMoonXP,3392,3,16595288,2013-06-17T20:05:23Z
14288084,RoadGeek_MD99,475877,2,29627943,2015-03-21T01:43:01Z
14288123,Rexma423,3055420,7,53756575,2017-11-14T01:47:43Z
14288214,roadgeek99,1442206,18,44504030,2016-12-19T00:41:01Z
14288276,ocotillo,78871,3,14271831,2012-12-14T14:15:09Z
14288351,bal_agates,374193,2,14203262,2012-12-08T17:49:57Z
14288437,Rick69,1220849,2,43375006,2016-11-03T10:59:57Z
14288464,Luis36995,1829683,2,30119860,2015-04-10T15:03:15Z
14288714,Chris Bell in California,194231,4,5924515,2010-10-01T00:28:53Z
14288851,czshredd,85306,2,534724,2008-12-21T09:33:37Z
14288949,knutella,1346236,3,55138818,2018-01-03T20:15:54Z
14289202,DaveHansenTiger,7168,1,630561,2007-11-27T11:59:53Z
14289257,SimMoonXP,3392,2,9927941,2011-11-23T23:45:04Z
14289412,Dami_Tn,2012449,6,26402022,2014-10-28T23:06:04Z
14289455,Gryphius,297374,6,29695014,2015-03-24T01:04:36Z
14289550,DaveHansenTiger,7168,1,630561,2007-11-27T12:01:39Z
14289733,TheDutchMan13,1330847,3,47897085,2017-04-18T08:15:48Z
14289823,alimamo,7213,2,16881793,2013-07-09T03:01:51Z
14289960,Tom_Holland,574654,2,54030960,2017-11-23T17:05:42Z
14290050,TheDutchMan13,1330847,4,20671691,2014-02-20T10:04:23Z
14290090,ryandrake,1214881,7,14953508,2013-02-08T08:57:39Z
14290121,ocotillo,78871,5,14268603,2012-12-14T08:51:49Z
14290153,DaveHansenTiger,7168,1,630561,2007-11-27T12:05:52Z
14290212,SimMoonXP,3392,6,25677872,2014-09-26T05:03:34Z
14290255,woodpeck_repair,145231,7,19931206,2014-01-11T09:21:02Z
14290336,Tom_Holland,574654,4,54017725,2017-11-23T06:02:06Z
14290415,nateirwin,74228,3,24414127,2014-07-29T03:10:30Z
14290484,oldtopos,169004,2,13837983,2012-11-11T19:29:06Z
14290505,SimMoonXP,3392,11,20007052,2014-01-15T05:06:11Z
14290556,Tom_Holland,574654,3,54030960,2017-11-23T17:05:42Z
14290569,DaveHansenTiger,7168,1,630561,2007-11-27T12:09:17Z
14290622,Howpper,1240864,9,44172762,2016-12-05T05:34:51Z
14290663,NE2,207745,3,9569184,2011-10-16T05:54:04Z
14290716,MojaveNC,63936,2,57217,2008-10-04T08:01:07Z
14290824,NE2,207745,4,9569184,2011-10-16T05:54:52Z
14290930,MojaveNC,63936,2,9426,2008-10-01T08:02:55Z
14290950,DaveHansenTiger,7168,1,630561,2007-11-27T12:12:45Z
14290982,DaveHansenTiger,7168,1,630561,2007-11-27T12:13:12Z
14290997,mvexel,8909,3,9648638,2011-10-25T02:40:46Z
14291019,maxerickson,360392,2,47339551,2017-03-31T20:51:20Z
14291041,nm7s9,12434,3,22123032,2014-05-04T11:14:24Z
14291079,DaveHansenTiger,7168,1,630561,2007-11-27T12:14:57Z
14291107,DaveHansenTiger,7168,1,630561,2007-11-27T12:15:32Z
14291161,Roadrunner21,330773,2,13852399,2012-11-12T21:40:49Z
14291172,woodpeck_repair,145231,3,19915102,2014-01-10T11:13:12Z
14291205,DaveHansenTiger,7168,1,630561,2007-11-27T12:16:51Z
14291238,NE2,207745,4,13183220,2012-09-20T12:38:03Z
